input,output
"('contact', 'Action', 'direct', 'Concept')",in-context
"('presenting as', 'Action', 'covid-19', 'Concept')",subject
"('presenting as', 'Action', 'pneumonia', 'Concept')",target
"('severe acute respiratory syndrome', 'Concept', 'sars', 'Concept')",same-as
"('middle eastern respiratory syndrome', 'Concept', 'mers', 'Concept')",same-as
"('covid-19', 'Concept', 'infectivity', 'Concept')",has-property
"('covid-19', 'Concept', 'fatality', 'Concept')",has-property
"('droplets', 'Concept', 'infectiousness', 'Concept')",causes
"('contact', 'Action', 'infectiousness', 'Concept')",causes
"('incubation', 'Action', 'covid-19', 'Concept')",subject
"('incubation', 'Action', '2-7', 'Concept')",in-time
"('incubation', 'Action', 'symptoms', 'Concept')",in-context
"('spread', 'Action', 'incubation', 'Action')",in-context
"('individuals', 'Concept', 'uninfected', 'Concept')",has-property
"('spread', 'Action', 'individuals', 'Concept')",target
"('days', 'Predicate', '2-7', 'Concept')",arg
"('covid-19', 'Concept', 'virus', 'Concept')",is-a
"('coronavirus', 'Concept', 'novel', 'Concept')",has-property
"('coronavirus', 'Concept', '2019', 'Concept')",in-time
"('2019-ncov', 'Concept', 'coronavirus', 'Concept')",same-as
"('2019-ncov', 'Concept', 'severe acute respiratory syndrome', 'Concept')",same-as
"('2019-ncov', 'Concept', 'sars)-cov-2', 'Concept')",same-as
"('disease', 'Concept', 'coronavirus', 'Concept')",in-context
"('covid-19', 'Concept', 'disease', 'Concept')",is-a
"('concern', 'Concept', 'serious', 'Concept')",has-property
"('health', 'Concept', 'public', 'Concept')",in-context
"('concern', 'Concept', 'health', 'Concept')",in-context
"('covid-19', 'Concept', 'concern', 'Concept')",is-a
"('characteristics', 'Concept', 'transmission', 'Concept')",has-property
"('characteristics', 'Concept', 'covid-19', 'Concept')",in-context
"('influenza', 'Concept', 'pandemic', 'Concept')",is-a
"('similar', 'Action', 'influenza', 'Concept')",target
"('similar', 'Action', 'characteristics', 'Concept')",subject
"('spread', 'Concept', 'global', 'Concept')",has-property
"('facilitate', 'Action', 'spread', 'Concept')",target
"('similar', 'Action', 'facilitate', 'Action')",entails
"('numbers', 'Concept', 'off-diagonal', 'Concept')",in-context
"('expression', 'Concept', 'differential', 'Concept')",has-property
"('two', 'Concept', 'viruses', 'Concept')",in-context
"('compared', 'Action', 'mock', 'Concept')",target
"('virus', 'Concept', 'third', 'Concept')",has-property
"('compared', 'Action', 'virus', 'Concept')",target
"('expression', 'Concept', 'two', 'Concept')",in-place
"('numbers', 'Concept', 'genes', 'Concept')",is-a
"('numbers', 'Concept', 'expression', 'Concept')",has-property
"('compared', 'Action', 'numbers', 'Concept')",target
"('spread', 'Action', 'holes', 'Concept')",in-place
"('spread', 'Action', 'both', 'Reference')",subject
"('cryoem grids', 'Concept', 'holes', 'Concept')",has-property
"('both', 'Reference', 'specimens', 'Concept')",is-a
"('virus', 'Concept', 'killer', 'Concept')",in-context
"('satellite rna', 'Concept', 'l-a', 'Concept')",in-context
"('virus', 'Concept', 'satellite rna', 'Concept')",is-a
"('replication', 'Action', 'virus', 'Concept')",target
"('replication', 'Action', 'l-a proteins', 'Concept')",entails
"('cap', 'Concept', 'mrna', 'Concept')",part-of
"('destabilize', 'Action', 'eif4e binding', 'Concept')",target
"('eif4e binding', 'Concept', 'cap', 'Concept')",in-context
"(""5' adenosine nucleotides"", 'Concept', 'homopolymeric stretch', 'Concept')",in-context
"('destabilize', 'Action', ""5' adenosine nucleotides"", 'Concept')",subject
"('c-terminal domain', 'Concept', 'xp', 'Concept')",in-context
"('features', 'Concept', 'viroporin', 'Concept')",in-context
"('membrane permeabilization', 'Concept', 'c-terminal domain', 'Concept')",entails
"('c-terminal domain', 'Concept', 'features', 'Concept')",has-property
"('n-terminal regions', 'Concept', 's proteins', 'Concept')",in-context
"('differences', 'Action', 'n-terminal regions', 'Concept')",subject
"('evc3.1', 'Concept', 'paralogs', 'Concept')",is-a
"('evc3.2', 'Concept', 'paralogs', 'Concept')",is-a
"('evc2', 'Concept', 'paralogs', 'Concept')",is-a
"('evc', 'Concept', 'paralogs', 'Concept')",is-a
"('evc3.1', 'Concept', 'choanoflagellate', 'Concept')",part-of
"('evc3.2', 'Concept', 'choanoflagellate', 'Concept')",part-of
"('evc3.2', 'Concept', 'sea anenome', 'Concept')",part-of
"('evc3.1', 'Concept', 'sea anenome', 'Concept')",part-of
"('evc3.2', 'Concept', 'sea urchin ciliomes', 'Concept')",part-of
"('evc3.1', 'Concept', 'sea urchin ciliomes', 'Concept')",part-of
"('data', 'Concept', 'influenza', 'Concept')",in-context
"('affected', 'Action', 'data', 'Concept')",target
"('look-back windows', 'Concept', 'smaller', 'Concept')",in-context
"('affected', 'Action', 'look-back windows', 'Concept')",subject
"('changes', 'Concept', 'small', 'Concept')",has-property
"('these', 'Reference', 'changes', 'Concept')",is-a
"('changes', 'Concept', 'subunit structures', 'Concept')",in-place
"('shifts', 'Concept', 'larger', 'Concept')",has-property
"('shifts', 'Concept', 'hexamer', 'Concept')",in-place
"('these', 'Reference', 'shifts', 'Concept')",entails
"('half', 'Predicate', 'patients', 'Concept')",domain
"('levels', 'Predicate', 'ldh', 'Concept')",in-context
"('levels', 'Predicate', 'prealbumin', 'Concept')",in-context
"('injury', 'Action', 'one-third', 'Predicate')",subject
"('liver', 'Concept', 'patients', 'Concept')",in-place
"('increased', 'Action', 'levels', 'Predicate')",target
"('increased', 'Action', 'half', 'Predicate')",in-context
"('decreased', 'Action', 'levels', 'Predicate')",target
"('decreased', 'Action', 'one-third', 'Predicate')",in-context
"('reduction', 'Action', 'mobility', 'Concept')",target
"('lower', 'Action', 'effectively', 'Concept')",has-property
"('lower', 'Action', 'incidence rate', 'Concept')",target
"('lower', 'Action', 'reduction', 'Action')",subject
"('reduction', 'Action', 'transmissibility', 'Concept')",target
"('reduction', 'Action', '50%', 'Concept')",in-context
"('spreading', 'Action', 'epidemics', 'Concept')",subject
"('prevent', 'Action', 'spreading', 'Action')",target
"('prevent', 'Action', 'reduction', 'Action')",subject
"('binding rate', 'Concept', 'high', 'Concept')",has-property
"('binding rate', 'Concept', 'hek293 cells', 'Concept')",in-context
"('cd147-antagonistic peptide-9', 'Concept', 'binding rate', 'Concept')",has-property
"('cd147-antagonistic peptide-9', 'Concept', 'inhibitory', 'Action')",has-property
"('facilitating', 'Action', 'cd147', 'Concept')",subject
"('facilitating', 'Action', 'invasion', 'Action')",target
"('invasion', 'Action', 'sars-cov', 'Concept')",subject
"('invasion', 'Action', 'host cells', 'Concept')",target
"('inhibitory', 'Action', 'sars-cov', 'Concept')",target
"('genome', 'Concept', '2019-ncov', 'Concept')",in-context
"('similarity', 'Predicate', 'genome', 'Concept')",domain
"('genome', 'Concept', '2002 sars-cov', 'Concept')",in-place
"('similarity', 'Predicate', 'proteome', 'Concept')",domain
"('proteome', 'Concept', '2002 sars-cov', 'Concept')",in-place
"('exhibits', 'Action', 'genome', 'Concept')",subject
"('exhibits', 'Action', 'similarity', 'Predicate')",target
"('proteome', 'Concept', '2019-ncov', 'Concept')",in-context
"('many', 'Predicate', 'proteome', 'Concept')",in-place
"('proteome', 'Concept', 'sars', 'Concept')",in-context
"('affected', 'Action', 'binding sites', 'Concept')",target
"('interactions', 'Concept', 'affected', 'Action')",in-context
"('many', 'Predicate', 'interactions', 'Concept')",domain
"('exhibits', 'Action', 'many', 'Predicate')",entails
"('treatment', 'Action', 'plasma', 'Concept')",in-context
"('influenza a', 'Concept', 'h1n1', 'Concept')",same-as
"('stay', 'Action', 'hospital', 'Concept')",in-place
"('reduced', 'Action', 'stay', 'Action')",target
"('reduced', 'Action', 'mortality', 'Action')",target
"('reduced', 'Action', 'treatment', 'Action')",subject
"('treatment', 'Action', 'convalescent', 'Concept')",target
"('patients', 'Concept', 'infection', 'Action')",in-context
"('infection', 'Action', 'sars-cov', 'Concept')",subject
"('plasma', 'Concept', 'convalescent', 'Concept')",in-context
"('mortality', 'Action', 'patients', 'Concept')",target
"('influenza a', 'Concept', 'severe', 'Concept')",in-context
"('patients', 'Concept', 'influenza a', 'Concept')",in-context
"('stay', 'Action', 'patients', 'Concept')",subject
"('2019-ncov', 'Concept', 'similar', 'Predicate')",has-property
"('receptor-binding domain', 'Concept', 'sars-cov', 'Concept')",in-context
"('3d model', 'Concept', '2019-ncov', 'Concept')",entails
"('similar', 'Predicate', 'receptor-binding domain', 'Concept')",arg
"('receptor-binding domain', 'Concept', 'rbd', 'Concept')",same-as
"('pathogen', 'Concept', 'respiratory', 'Concept')",in-place
"('pathogen', 'Concept', 'common', 'Concept')",in-context
"('influenza', 'Concept', 'pathogen', 'Concept')",is-a
"('parainfluenza', 'Concept', 'pathogen', 'Concept')",is-a
"('rsv', 'Concept', 'pathogen', 'Concept')",is-a
"('adv', 'Concept', 'pathogen', 'Concept')",is-a
"('mp', 'Concept', 'pathogen', 'Concept')",is-a
"('cp', 'Concept', 'pathogen', 'Concept')",is-a
"('coronaviruses', 'Concept', 'emerging', 'Concept')",has-property
"('sars-cov', 'Concept', 'coronaviruses', 'Concept')",is-a
"('mers-cov', 'Concept', 'coronaviruses', 'Concept')",is-a
"('isolated', 'Action', 'pathogen', 'Concept')",target
"('isolated', 'Action', 'coronaviruses', 'Concept')",target
"('isolated', 'Action', 'secretions', 'Concept')",in-place
"('isolated', 'Action', 'fluids', 'Concept')",in-place
"('body', 'Concept', 'fluids', 'Concept')",has-part
"('body', 'Concept', 'secretions', 'Concept')",has-part
"('treatment', 'Concept', 'related', 'Concept')",has-property
"('management', 'Concept', 'related', 'Concept')",has-property
"('implemented', 'Action', 'first place', 'Concept')",in-time
"('implemented', 'Action', 'management', 'Concept')",target
"('implemented', 'Action', 'treatment', 'Concept')",target
"('isolated', 'Action', 'implemented', 'Action')",entails
"('influenza', 'Concept', 'viruses', 'Concept')",is-a
"('parainfluenza', 'Concept', 'viruses', 'Concept')",is-a
"('emerging', 'Concept', 'previous', 'Concept')",entails
"('infected', 'Action', 'patients', 'Concept')",target
"('fluids', 'Concept', 'body', 'Concept')",in-place
"('secretions', 'Concept', 'body', 'Concept')",in-place
"('body', 'Concept', 'infected', 'Action')",in-place
"('s protein', 'Concept', 'sars-cov', 'Concept')",in-place
"('domain', 'Predicate', 'small', 'Concept')",in-context
"('domain', 'Predicate', 'residues 306-575', 'Concept')",has-part
"('domain', 'Predicate', 's protein', 'Concept')",domain
"('residues 424-494', 'Concept', 'receptor binding motif', 'Concept')",same-as
"('residues 424-494', 'Concept', 'rbm', 'Concept')",same-as
"('mediate', 'Action', 'residues 424-494', 'Concept')",subject
"('mediate', 'Action', 'directly', 'Concept')",has-property
"('mediate', 'Action', 'interaction', 'Action')",target
"('interaction', 'Action', 'ace2', 'Concept')",target
"('residues 306-575', 'Concept', 'domain', 'Predicate')",part-of
"('receptor binding domain', 'Concept', 'rbd', 'Concept')",same-as
"('domain', 'Predicate', 'receptor binding domain', 'Concept')",is-a
"('residues 424-494', 'Concept', 'receptor binding domain', 'Concept')",part-of
"('residues 424-494', 'Concept', 'domain', 'Predicate')",part-of
"('sars-cov', 'Concept', 'sarbecovirus', 'Concept')",is-a
"('2019-ncov', 'Concept', 'sarbecovirus', 'Concept')",is-a
"('related', 'Predicate', 'sars-cov', 'Concept')",arg
"('related', 'Predicate', '2019-ncov', 'Concept')",arg
"('related', 'Predicate', 'sequence identity', 'Concept')",has-property
"('sequence identity', 'Concept', '79.6%', 'Predicate')",in-context
"('sequence identity', 'Concept', 'whole-genome level 5', 'Concept')",in-context
"('detected', 'Action', 'sars-cov', 'Concept')",target
"('examination', 'Action', 'post-mortem', 'Concept')",in-context
"('examination', 'Action', 'skeletal muscle', 'Concept')",target
"('examination', 'Action', 'detected', 'Action')",entails
"('same', 'Reference', 'receptor', 'Concept')",is-a
"('detected', 'Action', 'same', 'Reference')",in-context
"('detected', 'Action', 'skeletal muscle', 'Concept')",in-place
"('defined', 'Action', 'epitopes', 'Concept')",target
"('defined', 'Action', 'humans', 'Concept')",in-place
"('defined', 'Action', 'other', 'Predicate')",in-place
"('sars-cov', 'Concept', 'virus', 'Concept')",is-a
"('defined', 'Action', 'sars-cov', 'Concept')",in-context
"('sars-cov', 'Concept', 'human disease', 'Concept')",causes
"('human disease', 'Concept', 'lethal', 'Concept')",has-property
"('closest', 'Predicate', 'virus', 'Concept')",domain
"('closest', 'Predicate', '2019-ncov', 'Concept')",arg
"('sars-cov', 'Concept', 'closest', 'Predicate')",has-property
"('other', 'Predicate', 'species', 'Concept')",domain
"('humans', 'Concept', 'species', 'Concept')",is-a
"('other', 'Predicate', 'humans', 'Concept')",arg
"('affect', 'Action', 'delay', 'Concept')",subject
"('delay', 'Concept', 'confirmation', 'Concept')",in-context
"('affect', 'Action', 'process', 'Concept')",target
"('process', 'Concept', 'infecting', 'Action')",in-context
"('inspecting', 'Action', 'number', 'Predicate')",target
"('number', 'Predicate', 'real', 'Concept')",in-context
"('delay', 'Concept', 'hinder', 'Action')",entails
"('hinder', 'Action', 'inspecting', 'Action')",target
"('predicts', 'Action', 'msir model', 'Concept')",subject
"('predicts', 'Action', 'position', 'Predicate')",target
"('position', 'Predicate', 'peak', 'Concept')",domain
"('peak', 'Concept', 'infectious', 'Concept')",in-context
"('position', 'Predicate', 'earlier', 'Concept')",has-property
"('position', 'Predicate', 'higher', 'Concept')",has-property
"('predicts', 'Action', 'mseir mode', 'Concept')",in-context
"('dephosphorylation', 'Action', 'jnk', 'Concept')",target
"('dephosphorylation', 'Action', 'p38', 'Concept')",target
"('phosphorylation', 'Action', 'p38', 'Concept')",target
"('phosphorylation', 'Action', 'jnk', 'Concept')",target
"('phosphorylation', 'Action', 'absence', 'Action')",in-context
"('absence', 'Action', 'dusp1', 'Concept')",target
"('absence', 'Action', 'infection', 'Action')",in-time
"('infection', 'Action', 'rsv', 'Concept')",subject
"('infection', 'Action', 'sev', 'Concept')",subject
"('increase', 'Action', 'phosphorylation', 'Action')",target
"('role', 'Predicate', 'dusp1', 'Concept')",arg
"('increase', 'Action', 'role', 'Predicate')",in-context
"('role', 'Predicate', 'dephosphorylation', 'Action')",in-context
"('dephosphorylation', 'Action', 'dusp1', 'Concept')",subject
"('absence', 'Action', 'increase', 'Action')",entails
"('increase', 'Action', 'consistent', 'Concept')",has-property
"('functions', 'Concept', 'novel', 'Concept')",has-property
"('spread', 'Action', 'functions', 'Concept')",target
"('events', 'Predicate', 'transfer', 'Action')",domain
"('transfer', 'Action', 'horizontal', 'Concept')",in-context
"('transfer', 'Action', 'gene', 'Concept')",target
"('transfer', 'Action', 'phage-mediated', 'Concept')",in-context
"('development', 'Action', 'functions', 'Concept')",is-a
"('development', 'Action', 'pathogenicity', 'Concept')",target
"('strains', 'Concept', 'bacterial', 'Concept')",in-context
"('development', 'Action', 'strains', 'Concept')",in-place
"('streptococcus', 'Concept', 'pyogenes', 'Concept')",has-property
"('streptococcus', 'Concept', 'strains', 'Concept')",is-a
"('vibrio cholerae', 'Concept', 'strains', 'Concept')",is-a
"('escherichia coli', 'Concept', 'strains', 'Concept')",is-a
"('events', 'Predicate', 'spread', 'Action')",causes
"('spread', 'Action', 'development', 'Action')",target
"('aureus', 'Concept', 'staphylococcus', 'Concept')",in-context
"('strains', 'Concept', 'aureus', 'Concept')",in-context
"('sequence identity', 'Concept', '96.08%', 'Concept')",has-property
"('3cl proteases', 'Concept', 'sars-cov', 'Concept')",in-context
"('3cl proteases', 'Concept', '2019-ncov', 'Concept')",in-context
"('between', 'Predicate', '3cl proteases', 'Concept')",arg
"('sequence identity', 'Concept', 'between', 'Predicate')",in-context
"('other', 'Reference', 'clades', 'Concept')",in-context
"('recombination', 'Action', 'clade 1', 'Concept')",subject
"('recombination', 'Action', 'other', 'Reference')",subject
"('arose', 'Action', '2019-ncov', 'Concept')",target
"('recombination', 'Action', 'arose', 'Action')",causes
"('sugar', 'Concept', 'concentrated', 'Concept')",in-context
"('niches', 'Concept', 'wild', 'Concept')",in-context
"('sugar', 'Concept', 'rare', 'Concept')",has-property
"('concentrations', 'Predicate', 'sugar', 'Concept')",domain
"('exceed', 'Action', '0.5%', 'Concept')",target
"('0.5%', 'Concept', 'threshold', 'Concept')",in-context
"('fermentation', 'Action', 'sugar', 'Concept')",target
"('sugar', 'Concept', 'niches', 'Concept')",in-place
"('competition', 'Action', 'sugar', 'Concept')",in-context
"('competition', 'Action', 'niches', 'Concept')",in-place
"('competition', 'Action', 'fierce', 'Concept')",has-property
"('exceed', 'Action', 'concentrations', 'Predicate')",subject
"('fermentation', 'Action', 'exceed', 'Action')",entails
"('exceed', 'Action', 'unlikely', 'Concept')",has-property
"('encoded', 'Action', 'pgkl', 'Concept')",subject
"('encoded', 'Action', 'toxin', 'Concept')",target
"('pgkl', 'Concept', 'plasmids', 'Concept')",is-a
"('pathway', 'Concept', 'cap-independent', 'Concept')",has-property
"('translated', 'Action', 'pathway', 'Concept')",subject
"('translated', 'Action', 'encoded', 'Action')",target
"('toxin', 'Concept', 'killer', 'Concept')",has-property
"('transmitted', 'Action', 'human', 'Concept')",in-place
"('transmitted', 'Action', '2019-ncov', 'Concept')",target
"('comparing', 'Action', 'sars-cov', 'Concept')",target
"('comparing', 'Action', 'mers', 'Concept')",target
"('spreading', 'Action', '2019-ncov', 'Concept')",subject
"('spreading', 'Action', 'regions', 'Concept')",in-place
"('countries', 'Concept', 'multiple', 'Concept')",in-context
"('regions', 'Concept', 'multiple', 'Concept')",in-context
"('declaration', 'Action', 'who', 'Concept')",subject
"('declaration', 'Action', 'emergency', 'Concept')",target
"('emergency', 'Concept', 'health', 'Concept')",in-context
"('concern', 'Action', 'international', 'Concept')",in-place
"('2019-ncov', 'Concept', 'declaration', 'Action')",causes
"('emergency', 'Concept', 'concern', 'Action')",has-property
"('infection', 'Concept', 'successful', 'Concept')",has-property
"('depend', 'Action', 'sars-cov', 'Concept')",subject
"('pools', 'Concept', 'ca 2+', 'Concept')",in-context
"('extracellular', 'Concept', 'pools', 'Concept')",in-context
"('intracellular', 'Concept', 'pools', 'Concept')",in-context
"('depend', 'Action', 'extracellular', 'Concept')",target
"('depend', 'Action', 'intracellular', 'Concept')",target
"('depend', 'Action', 'infection', 'Concept')",in-context
"('sars-cov', 'Concept', 'fp', 'Concept')",has-part
"('interactions', 'Action', 'ca 2+', 'Concept')",subject
"('interactions', 'Action', 'fp', 'Concept')",target
"('interactions', 'Action', 'depend', 'Action')",causes
"('measures', 'Concept', 'hygiene', 'Concept')",in-context
"('hygiene', 'Concept', 'respiratory', 'Concept')",in-context
"('measures', 'Concept', 'important', 'Concept')",has-property
"('measures', 'Concept', 'cost-effective', 'Concept')",has-property
"('facemask', 'Concept', 'measures', 'Concept')",is-a
"('measures', 'Concept', 'transmission', 'Action')",causes
"('transmission', 'Action', 'sars-cov-2', 'Concept')",subject
"('measures', 'Concept', 'measures', 'Concept')",is-a
"('activation', 'Action', 'signaling pathway', 'Concept')",target
"('bcr', 'Concept', 'antibodies', 'Concept')",is-a
"('tcr', 'Concept', 'antibodies', 'Concept')",is-a
"('combating', 'Action', 'infection', 'Action')",target
"('combating', 'Action', 'activation', 'Action')",subject
"('combating', 'Action', 'tcr', 'Concept')",subject
"('combating', 'Action', 'bcr', 'Concept')",subject
"('data', 'Concept', 'official', 'Concept')",has-property
"('diffusion', 'Action', 'sars-cov-2', 'Concept')",subject
"('data', 'Concept', 'diffusion', 'Action')",in-context
"('coivd-19', 'Concept', 'disease', 'Concept')",is-a
"('responsible of', 'Action', 'sars-cov-2', 'Concept')",subject
"('responsible of', 'Action', 'coivd-19', 'Concept')",target
"('bias', 'Concept', 'downward', 'Concept')",has-property
"('bias', 'Concept', 'strong', 'Concept')",has-property
"('suffer', 'Action', 'bias', 'Concept')",target
"('suffer', 'Action', 'data', 'Concept')",subject
"('antibodies', 'Concept', 'sars-cov-2', 'Concept')",in-context
"('antibodies', 'Concept', 'specific', 'Concept')",has-property
"('antibodies', 'Concept', 'sensitive', 'Concept')",has-property
"('detection', 'Action', 'antibodies', 'Concept')",subject
"('detection', 'Action', 'simpler', 'Concept')",has-property
"('faster', 'Concept', 'rt-pcr', 'Concept')",in-context
"('simpler', 'Concept', 'rt-pcr', 'Concept')",in-context
"('cases', 'Concept', 'suspect', 'Concept')",has-property
"('screening', 'Action', 'rapid', 'Concept')",has-property
"('detection', 'Action', 'screening', 'Action')",entails
"('screening', 'Action', 'cases', 'Concept')",target
"('sars-cov-2', 'Concept', 'coronavirus', 'Concept')",is-a
"('30kb', 'Concept', 'length', 'Concept')",in-context
"('rna', 'Concept', '30kb', 'Concept')",has-property
"('rna', 'Concept', 'singlestranded', 'Concept')",has-property
"('rna', 'Concept', 'positive-sense', 'Concept')",has-property
"('sars-cov-2', 'Concept', 'rna', 'Concept')",has-part
"('s proteins', 'Concept', 'folding pattern', 'Concept')",has-part
"('sars-cov s', 'Concept', 'folding pattern', 'Concept')",has-part
"('folding pattern', 'Concept', 'similar', 'Concept')",has-property
"('similar', 'Concept', 's proteins', 'Concept')",in-context
"('similar', 'Concept', 'sars-cov s', 'Concept')",in-context
"('s2', 'Concept', 'domains', 'Concept')",is-a
"('s1', 'Concept', 'domains', 'Concept')",is-a
"('organization', 'Concept', 'uniform', 'Concept')",has-property
"('s2', 'Concept', 'organization', 'Concept')",has-property
"('s1', 'Concept', 'organization', 'Concept')",has-property
"('transmitted', 'Action', 'sars-cov-2', 'Concept')",target
"('transmitted', 'Action', 'vaginal sex', 'Concept')",in-context
"('structure', 'Concept', 'co-crystal', 'Concept')",has-property
"('structure', 'Concept', 'sars-cov nsp8', 'Concept')",in-context
"('structure', 'Concept', 'sars-cov nsp7', 'Concept')",in-context
"('head domain', 'Concept', 'nsp8 c-terminal', 'Concept')",in-context
"('demonstrated', 'Action', 'structure', 'Concept')",subject
"('folds', 'Action', 'head domain', 'Concept')",subject
"('bundle', 'Concept', 'helical', 'Concept')",has-property
"('bundle', 'Concept', 'nsp7', 'Concept')",in-place
"('around', 'Predicate', 'bundle', 'Concept')",arg
"('folds', 'Action', 'around', 'Predicate')",in-place
"('demonstrated', 'Action', 'folds', 'Action')",target
"('protease inhibitors', 'Concept', 'sars-cov', 'Concept')",in-context
"('data', 'Concept', 'experimental', 'Concept')",has-part
"('data', 'Concept', 'protease inhibitors', 'Concept')",in-context
"('set', 'Concept', 'training', 'Concept')",has-property
"('generate', 'Action', 'set', 'Concept')",subject
"('generate', 'Action', 'inhibitors', 'Concept')",target
"('protease', 'Concept', '2019-ncov', 'Concept')",in-context
"('inhibitors', 'Concept', 'protease', 'Concept')",in-context
"('data', 'Concept', 'set', 'Concept')",is-a
"('model', 'Concept', 'mathematical', 'Concept')",has-property
"('panel', 'Concept', 'sars-cov-2-designed', 'Concept')",has-property
"('estimated', 'Action', 'model', 'Concept')",subject
"('estimated', 'Action', 'detect', 'Action')",target
"('detect', 'Action', 'panel', 'Concept')",subject
"('1.15', 'Predicate', 'copies', 'Concept')",domain
"('copies', 'Concept', 'virus', 'Concept')",in-context
"('95%', 'Predicate', 'probability', 'Concept')",domain
"('detect', 'Action', 'copies', 'Concept')",target
"('detect', 'Action', '95%', 'Predicate')",in-context
"('regions', 'Concept', 'specific', 'Concept')",has-property
"('responses', 'Concept', 'immune', 'Concept')",in-context
"('immune', 'Concept', 'human', 'Concept')",in-context
"('recognized', 'Action', 'responses', 'Concept')",subject
"('recognized', 'Action', 'regions', 'Concept')",target
"('regions', 'Concept', '2019-ncov', 'Concept')",in-context
"('pwk/phj', 'Concept', 'founder', 'Concept')",is-a
"('titer', 'Concept', 'sars-cov', 'Concept')",has-property
"('driver', 'Action', 'pwk/phj', 'Concept')",subject
"('driver', 'Action', 'titer', 'Concept')",target
"('titer', 'Concept', 'lung', 'Concept')",in-place
"('allele 60', 'Concept', 'driver', 'Action')",causes
"('reveals', 'Action', 'superposition', 'Concept')",subject
"('reveals', 'Action', 'path', 'Concept')",target
"('elongation complexes', 'Concept', 'poliovirus 23', 'Concept')",has-part
"('elongation complexes', 'Concept', 'norovirus 24', 'Concept')",has-part
"('sars-cov nsp12', 'Concept', 'norovirus 24', 'Concept')",has-part
"('sars-cov nsp12', 'Concept', 'elongation complexes', 'Concept')",has-part
"('rna', 'Concept', 'path', 'Concept')",causes
"('rna', 'Concept', 'active site', 'Concept')",in-place
"('indicates', 'Action', 'superposition', 'Concept')",subject
"('indicates', 'Action', 'amino acids', 'Concept')",target
"('binding', 'Action', 'amino acids', 'Concept')",subject
"('catalysis', 'Action', 'amino acids', 'Concept')",subject
"('particles', 'Concept', 'virus-like', 'Concept')",has-property
"('sars-cov', 'Concept', 'particles', 'Concept')",has-part
"('depend', 'Action', 'formation', 'Action')",subject
"('depend', 'Action', 'e proteins', 'Concept')",in-context
"('depend', 'Action', 'n proteins', 'Concept')",in-context
"('formation', 'Action', 'particles', 'Concept')",target
"('vlps', 'Concept', 'particles', 'Concept')",same-as
"('diagnosis', 'Action', 'rapid', 'Concept')",has-property
"('isolation', 'Action', 'rapid', 'Concept')",has-property
"('control', 'Action', 'alone', 'Concept')",has-property
"('outbreaks', 'Concept', 'sars-cov-2', 'Concept')",in-context
"('cases', 'Concept', 'traced', 'Concept')",has-property
"('control', 'Action', 'diagnosis', 'Action')",subject
"('control', 'Action', 'isolation', 'Action')",subject
"('control', 'Action', 'outbreaks', 'Concept')",target
"('control', 'Action', 'tracing', 'Action')",subject
"('isolation', 'Action', 'infections', 'Concept')",target
"('infections', 'Concept', 'covid-19', 'Concept')",in-context
"('diagnosis', 'Action', 'infections', 'Concept')",target
"('symptoms', 'Concept', 'systemic', 'Concept')",has-property
"('covid-19', 'Concept', 'symptoms', 'Concept')",causes
"('fever', 'Concept', 'symptoms', 'Concept')",is-a
"('fatigue', 'Concept', 'symptoms', 'Concept')",is-a
"('sputum', 'Concept', 'symptoms', 'Concept')",is-a
"('symptoms', 'Concept', 'common', 'Concept')",has-property
"('monitoring', 'Action', 'fetal', 'Concept')",target
"('serial ultrasound', 'Concept', 'monitoring', 'Action')",part-of
"('women', 'Concept', 'covid-19', 'Concept')",in-context
"('monitoring', 'Action', 'women', 'Concept')",target
"('fetal', 'Concept', 'need', 'Concept')",is-a
"('indicator', 'Action', 'reliable', 'Concept')",has-property
"('indicator', 'Action', 'effective', 'Concept')",has-property
"('indicator', 'Action', 'severity', 'Concept')",target
"('indicator', 'Action', 'hospitalization', 'Concept')",target
"('indicator', 'Action', 'patients', 'Concept')",in-context
"('lymphopenia', 'Concept', 'indicator', 'Action')",is-a
"('superspreading', 'Action', 'unlikely', 'Concept')",has-property
"('outbreak', 'Concept', 'covid-19', 'Concept')",in-context
"('number', 'Concept', 'reproduction', 'Concept')",in-context
"('below', 'Predicate', 'unity', 'Concept')",in-context
"('reducing', 'Action', 'number', 'Concept')",target
"('control', 'Action', 'outbreak', 'Concept')",target
"('control', 'Action', 'reducing', 'Action')",in-context
"('superspreading', 'Action', 'control', 'Action')",entails
"('number', 'Concept', 'below', 'Predicate')",in-context
"('covid-19', 'Concept', 'duration', 'Concept')",has-property
"('duration', 'Concept', 'unknown', 'Concept')",has-property
"('transmissibility', 'Concept', 'unknown', 'Concept')",has-property
"('sars-cov-2', 'Concept', 'covid-19', 'Concept')",same-as
"('covid-19', 'Concept', 'asymptomatic carriers', 'Concept')",in-context
"('gen', 'Concept', 'normal', 'Concept')",in-context
"('presencia', 'Action', 'gen de células falciformes', 'Concept')",subject
"('presencia', 'Action', 'rasgo drepanocítico', 'Concept')",same-as
"('presencia', 'Action', 'gen', 'Concept')",subject
"('peso', 'Concept', 'factores de riesgo', 'Concept')",is-a
"('raza afroamericana', 'Concept', 'factores de riesgo', 'Concept')",is-a
"('peso', 'Concept', 'exceso', 'Concept')",in-context
